code_ucd;libelle_traitement;type
9336842;DOXORUBICINE MEDIPHA SANTE 2 MG/ML solution pour perfusion en flacon de 5 ml;
9337913;EPIRUBICINE TEVA CLASSICS 2 MG/ML Solution injectable ou pour perfusion en flacon de 10 ml;
9337936;EPIRUBICINE TEVA CLASSICS 2 MG/ML Solution injectable ou pour perfusion en flacon de 100 ml;
9337942;EPIRUBICINE TEVA CLASSICS 2 MG/ML Solution injectable ou pour perfusion en flacon de 25 ml;
9337959;EPIRUBICINE TEVA CLASSICS 2 MG/ML Solution injectable ou pour perfusion en flacon de 5 ml;
9338249;IRINOTECAN MYLAN 20 MG/ML Solution Ö diluer pour perfusion en flacon de 15 ml;
9331879;ROACTEMRA 20 MG/ML Solution Ö diluer pour perfusion en flacon de 10 ml;
9331885;ROACTEMRA 20 MG/ML Solution Ö diluer pour perfusion en flacon de 20 ml;
9331891;ROACTEMRA 20 MG/ML Solution Ö diluer pour perfusion en flacon de 4 ml;
9332620;CLOTTAFACT 1,5 G/100 ML FL+FL;
9332620;CLOTTAFACT 1,5 G/100 ML FL+FL;
9332637;EPIRUBICINE KABI 2 MG/ML Solution pour perfusion en flacon de 100 ml;
9332643;EPIRUBICINE KABI 2 MG/ML Solution pour perfusion en flacon de 25 ml;
9285398;PACLITAXEL EBEWE 6 mg/ml 1 Flacon de 25 ml, solution Ö diluer pour perfusion;
9285406;PACLITAXEL EBEWE 6 mg/ml 1 Flacon de 5 ml, solution Ö diluer pour perfusion;
9285412;PACLITAXEL EBEWE 6 mg/ml 1 Flacon de 50 ml, solution Ö diluer pour perfusion;
9286995;KALETRA 200 mg/50 mg comprimÇ pelliculÇ;
9287196;NAGLAZYME 1 mg/ml solution Ö diluer pour perfusion en flacon de 5 ml;
9288304;BARACLUDE 0,05 mg/ml (entecavir) Flacon de 210 ml avec cuilläre-mesure, solution buvable;
9288310;BARACLUDE 0,5 MG comprimÇ pelliculÇ;
9304718;ATRIANCE 5 MG/ML 1 Flacon de 50 ml, solution pour perfusion;
9304776;TORISEL 25 MG/ML Solution Ö diluer et diluant pour solution pour perfusion;
9305095;EPIRUBICINE SANDOZ 2 MG/ML 1 Flacon de 10 ml, solution pour perfusion;
9305103;EPIRUBICINE SANDOZ 2 MG/ML 1 Flacon de 100 ml, solution pour perfusion;
9305126;EPIRUBICINE SANDOZ 2 MG/ML 1 Flacon de 25 ml, solution pour perfusion;
9305132;EPIRUBICINE SANDOZ 2 MG/ML 1 Flacon de 5 ml, solution pour perfusion;
9305379;PACLITAXEL MYLAN PHARMA 6 MG/ML 1 Flacon de 16,7 ml, solution Ö diluer pour perfusion;
9338255;IRINOTECAN MYLAN 20 MG/ML Solution Ö diluer pour perfusion en flacon de 25 ml;
9339272;OXALIPLATIN.KBI 5MG/ML 10ML +P Solution Ö diluer pour perfusion en flacon de 10 ml;
9339289;OXALIPLATIN.KBI 5MG/ML 20ML +P Solution Ö diluer pour perfusion en flacon de 20 ml;
9339295;APTIVUS 100 MG/ML Solution buvable en flacon de 95 ml;
9340950;FLUOROURACILE EBEWE 50 MG/ML Solution pour perfusion en flacon de 10 ml;
9340967;FLUOROURACILE EBEWE 50 MG/ML Solution pour perfusion en flacon de 5 ml;
9340973;FLUOROURACILE EBEWE 50 MG/ML Solution pour perfusion en flacon de 100 ml;
9332703;GEMCIRENA 200 MG Poudre pour solution pour perfusion en flacon;
9332732;GEMCIRENA 1 000 MG Poudre pour solution pour perfusion en flacon;
9332778;IRINOTECAN KABI 20 MG/ML Solution Ö diluer pour perfusion en flacon de 2 ml;
9332784;IRINOTECAN KABI 20 MG/ML Solution Ö diluer pour perfusion en flacon de 5 ml;
9332809;PACLITAXEL KABI 6 MG/ML Solution Ö diluer pour perfusion en flacon de 16,7 ml;
9332815;PACLITAXEL KABI 6 MG/ML Solution Ö diluer pour perfusion en flacon de 5 ml;
9332821;PACLITAXEL KABI 6 MG/ML Solution Ö diluer pour perfusion en flacon de 50 ml;
9288327;BARACLUDE 1 MG comprimÇ pelliculÇ;
9290301;FLUCONAZOLE DAKOTA PHARM 2 mg/ml solution pour perfusion en flacon de 100 ml;
9290318;FLUCONAZOLE DAKOTA PHARM 2 mg/ml solution pour perfusion en flacon de 200 ml;
9290324;FLUCONAZOLE DAKOTA PHARM 2 mg/ml solution pour perfusion en flacon de 50 ml;
9290413;OCTANATE 100 UI/ml Poudre et solvant pour solution injectable en flacon de 10 ml;
9290413;OCTANATE 100 UI/ml Poudre et solvant pour solution injectable en flacon de 10 ml;
9290436;OCTANATE 50 UI/ml Poudre et solvant pour solution injectable en flacon de 10 ml;
9305385;PACLITAXEL MYLAN PHARMA 6 MG/ML 1 Flacon de 5 ml, solution Ö diluer pour perfusion;
9305391;PACLITAXEL MYLAN PHARMA 6 MG/ML 1 Flacon de 50 ml, solution Ö diluer pour perfusion;
9306605;EPIRUBICINE EG 2 MG/ML solution pour perfusion en flacon de 100 ml;
9306611;EPIRUBICINE EG 2 MG/ML solution pour perfusion en flacon de 25 ml;
9306628;EPIRUBICINE EG 2 MG/ML solution pour perfusion en flacon de 5 ml;
9306634;EPIRUBICINE PANPHARMA 2 MG/ML 1 Flacon de 10 ml, solution pour perfusion;
9306640;EPIRUBICINE PANPHARMA 2 MG/ML 1 Flacon de 100 ml, solution pour perfusion;
9341398;PRIVIGEN 100 MG/ML solution pour perfusion en flacon de 25 ml;
9341725;ENBREL 50 MG Solution injectable en stylo prÇrempli de 1 ml et 8 tampons alcoolisÇs;
9342601;CIMZIA 200 MG (CERTOLIZUMAB PEGOL) 1 ml en seringue prÇremplie, solution injectable;
9342759;TRACLEER 32 MG ComprimÇ dispersible;
9343115;CISPLATINE INTAS 1 MG/ML Solution injectable en flacon de 10 ml;
9343121;CISPLATINE INTAS 1 MG/ML Solution injectable en flacon de 25 ml;
9343138;CISPLATINE INTAS 1 MG/ML Solution injectable en flacon de 50 ml;
9333329;IRINOTECAN ACTAVIS 20 MG/ML Solution Ö diluer pour perfusion en flacon de 25 ml;
9333335;IRINOTECAN HPI 20MG/ML FL2ML;
9333341;IRINOTECAN HPI 20MG/ML FL5ML;
9333996;ROPIVACAINE MYLAN 2 MG/ML solution pour perfusion en poche polyolÇfine suremballÇe de 100 ml;
9334004;ROPIVACAINE MYLAN 2 MG/ML solution pour perfusion en poche polyolÇfine suremballÇe de 200 ml;
9334582;IRINOTECAN HPI 20MG/ML FL25ML;
9334665;IRINOTECAN EBEWE PHARMA FRANCE 20 MG/ML Solution Ö diluer pour perfusion (IV) en flacon de 25 ml;
9290436;OCTANATE 50 UI/ml Poudre et solvant pour solution injectable en flacon de 10 ml;
9290442;OCTANATE 50 UI/ml Poudre et solvant pour solution injectable en flacon de 5 ml;
9290442;OCTANATE 50 UI/ml Poudre et solvant pour solution injectable en flacon de 5 ml;
9290502;ERWINASE 10000 UL/FLACON Poudre pour solution injectable;
9290519;YONDELIS 0,25 MG poudre pour solution Ö diluer pour perfusion en flacon;
9290525;YONDELIS 1 MG poudre pour solution Ö diluer pour perfusion en flacon;
9290844;CARBOPLATINE INTSEL CHIMOS 10 mg/ml solution pour perfusion en flacon de 15 ml;
9306657;EPIRUBICINE PANPHARMA 2 MG/ML 1 Flacon de 25 ml, solution pour perfusion;
9306663;EPIRUBICINE PANPHARMA 2 MG/ML 1 Flacon de 5 ml, solution pour perfusion;
9306686;EPIRUBICINE PANPHARMA 2 MG/ML 1 Flacon de 50 ml, solution pour perfusion;
9307160;VECTIBIX 20 MG/ML perf fl10ml;
9307177;VECTIBIX 20 MG/ML perf fl20ml;
9307183;VECTIBIX 20 MG/ML perf fl5ml;
9307562;HUMIRA 40 MG 1 Stylo prÇrempli de 0,8 ml, solution injectable;
9338427;IRINOTECAN SANDOZ 20 MG/ML Solution Ö diluer pour perfusion en flacon de 2 ml;
9338433;IRINOTECAN SANDOZ 20 MG/ML Solution Ö diluer pour perfusion en flacon de 5 ml;
9338491;GEMCITABINE MYLAN PHARMA 38 MG/ML Poudre pour solution pour perfusion en flacon de 2 000 mg;
9338516;MOZOBIL 20 MG/ML Solution injectable;
9338516;MOZOBIL 20 MG/ML Solution injectable;
9339177;PREZISTA 150 MG ComprimÇ pelliculÇ;
9339183;PREZISTA 75 MG ComprimÇ pelliculÇ;
9334814;IRINOTECAN INTAS PHARMACEUTICALS 20 MG/ML Solution Ö diluer pour perfusion en flacon de 2 ml;
9334820;IRINOTECAN INTAS PHARMACEUTICALS 20 MG/ML Solution Ö diluer pour perfusion en flacon de 5 ml;
9334866;FLUOROURACILE INTAS 50 MG/ML Solution pour perfusion en flacon de 10 ml;
9334872;FLUOROURACILE INTAS 50 MG/ML Solution pour perfusion en flacon de 100 ml;
9334889;FLUOROURACILE INTAS 50 MG/ML Solution pour perfusion en flacon de 20 ml;
9334895;FLUOROURACILE INTAS 50 MG/ML Solution pour perfusion en flacon de 5 ml;
9335506;CEFOXITINE HOSPIRA 2 G poudre pour solution injectable (IV);
9290850;CARBOPLATINE INTSEL CHIMOS 10 mg/ml solution pour perfusion en flacon de 45 ml;
9290867;CARBOPLATINE INTSEL CHIMOS 10 mg/ml solution pour perfusion en flacon de 5 ml;
9290873;CARBOPLATINE INTSEL CHIMOS 10 mg/ml solution pour perfusion en flacon de 60 ml;
9291602;SAVENE 20 mg/ml IV FL+POC (3);
9293216;MYOZYME 50 MG poudre pour solution Ö diluer pour perfusion;
9293340;TYSABRI 300 mg 1 Flacon de 15 ml, solution Ö diluer pour perfusion;
9293357;EPIRUBICINE EBEWE 2 mg/ml solution pour perfusion en flacon de 100 ml;
9307800;FLUDARABINE TEVA 25 MG/ML 1 Flacon de 2 ml, solution Ö diluer injectable ou pour perfusion;
9308188;DOXORUBICINE EG 2 MG/ML solution pour perfusion en flacon de 25 ml;
9308254;PACLITAXEL TEVA 6 MG/ML 1 Flacon de 25 ml, solution Ö diluer pour perfusion;
9308679;ATRIPLA 600 MG/200 MG/245 MG ComprimÇ pelliculÇ;
9308685;PARACET.PAN10MG/ML P 100ML, solution pour perfusion;
9308691;PARACET.PAN10MG/ML P50ML, solution pour perfusion;
9308857;OXALIPLATIN.TVC 5MG/ML 20ML Solution Ö diluer pour perfusion en flacon de 20 ml;
9340996;FLUOROURACILE EBEWE 50 MG/ML Solution pour perfusion en flacon de 20 ml;
9341004;FLUOROURACILE EBEWE 50 MG/ML Solution pour perfusion en flacon de 50 ml;
9341369;FIBROGAMMIN 62,5 U/ML, 250 U Poudre et solvant pour solution injectable/perfusion;
9341369;FIBROGAMMIN 62,5 U/ML, 250 U Poudre et solvant pour solution injectable/perfusion;
9341375;FIBROGAMMIN 62,5 U/ML, 1 250 U Poudre et solvant pour solution injectable/perfusion;
9341375;FIBROGAMMIN 62,5 U/ML, 1 250 U Poudre et solvant pour solution injectable/perfusion;
9341398;PRIVIGEN 100 MG/ML solution pour perfusion en flacon de 25 ml;
9275299;GAMMANORM 165 mg/ml INJ A.33G;
9275307;SUBCUVIA 160 mg/ml solution injectable (voie sous-cutanÇe) en flacon de 5 ml (B/20-16g);
9275313;SUBCUVIA 160 mg/ml solution injectable (voie sous-cutanÇe) en flacon de 10 ml (B/20-32g);
9275684;MITOXANTRONE G GAM 2 mg/ml solution Ö diluer pour perfusion en flacon de 10 ml;
9275690;MITOXANTRONE G GAM 2 mg/ml solution Ö diluer pour perfusion en flacon de 5 ml;
9275715;ALFALASTIN 33,33 mg/ml poudre et solvant pour solution injectable;
9275891;INVIRASE 500 mg comprimÇ pelliculÇ;
9293363;EPIRUBICINE EBEWE 2 mg/ml solution pour perfusion en flacon de 25 ml;
9293386;EPIRUBICINE EBEWE 2 mg/ml solution pour perfusion en flacon de 5 ml;
9293392;EPIRUBICINE EBEWE 2 mg/ml solution pour perfusion en flacon de 50 ml;
9293529;ELMIRON 100 MG gÇlule;
9293558;OSPOLOT 200 MG comprimÇ pelliculÇ sÇcable;
9293564;OSPOLOT 50 MG comprimÇ pelliculÇ;
9293593;ELAPRASE 2 MG/ML PERF FL 3ML;
9308863;OXALIPLATIN.TVC 5MG/ML 10ML Solution Ö diluer pour perfusion en flacon de 10 ml;
9308923;PACLITAXEL HOSPIRA 6 MG/ML Solution Ö diluer pour perfusion, flacon de 16,7 ml;
9308946;PACLITAXEL HOSPIRA 6 MG/ML Solution Ö diluer pour perfusion, flacon de 25 ml;
9308952;PACLITAXEL HOSPIRA 6 MG/ML Solution Ö diluer pour perfusion, flacon de 5 ml;
9308969;PACLITAXEL HOSPIRA 6 MG/ML Solution Ö diluer pour perfusion, flacon de 50 ml;
9309012;FLUCONAZOLE TVC2MG/ML FL 100 ML;
9309029;FLUCONAZOLE TVC2MG/ML FL200ML;
9317193;CAMPTO 20 MG/ML Solution Ö diluer pour perfusion en flacon polypropyläne de 5 ml;
9317276;CELSENTRI 150 MG CPR;
9317282;CELSENTRI 300 MG comprimÇ pelliculÇ;
9318465;GEMCITABINE INTAS 1 000 MG Solution Ö diluer pour perfusion en flacon de 50 ml;
9318471;GEMCITABINE INTAS 200 MG Poudre pour solution pour perfusion en flacon;
9318873;NOVOSEVEN 1MG INJ FL+FL;
9318873;NOVOSEVEN 1MG INJ FL+FL;
9277186;MITOXANTRONE MYLAN 2 MG/ML solution Ö diluer pour perfusion en flacon de 10 ml;
9277192;MITOXANTRONE MYLAN 2 MG/ML solution Ö diluer pour perfusion en flacon de 5 ml;
9278091;PACLITAXEL TEVA 6 mg/ml solution Ö diluer pour perfusion en flacon de 16,7 ml;
9278116;PACLITAXEL TEVA 6 mg/ml solution Ö diluer pour perfusion en flacon de 5 ml;
9278122;PACLITAXEL TEVA 6 mg/ml solution Ö diluer pour perfusion en flacon de 50 ml;
9278582;ESKAZOLE 400 mg comprimÇ;
9278599;FLUOURACILE G GAM 50 mg/ml solution pour perfusion en flacon de 5 ml;
9293593;ELAPRASE 2 MG/ML PERF FL 3ML;
9294641;DOXORUBICINE EBEWE 2 MG/ML Solution pour perfusion en flacon de 50 ml;
9294658;DOXORUBICINE EBEWE 2 MG/ML Solution pour perfusion en flacon de 25 ml;
9294664;DOXORUBICINE EBEWE 2 MG/ML Solution pour perfusion en flacon de 5 ml;
9294670;DOXORUBICINE EBEWE 2 MG/ML Solution pour perfusion en flacon de 100 ml;
9294954;EVOLTRA 1 mg/ml solution Ö diluer pour perfusion en flacon de 20 ml;
9295008;PREZISTA 300 mg comprimÇ pelliculÇ;
9309035;FLUCONAZOLE TVC2MG/ML FL50ML;
9309549;KOGENATE BAYER 2 000 UI Poudre et solvant pour solution injectable avec systäme Bioset + seringue prÇremplie;
9309549;KOGENATE BAYER 2 000 UI Poudre et solvant pour solution injectable avec systäme Bioset + seringue prÇremplie;
9309779;GEMCITABINE HOSPIRA 1 G Poudre pour solution pour perfusion;
9309785;GEMCITABINE HOSPIRA 2 G Poudre pour solution pour perfusion;
9309791;GEMCITABINE HOSPIRA 200 MG Poudre pour solution pour perfusion;
9310512;HELIXATE NEXGEN 2 000 UI F + F + NEC;
9318896;NOVOSEVEN 2MG INJ FL+FL;
9318896;NOVOSEVEN 2MG INJ FL+FL;
9318904;NOVOSEVEN 5MG INJ FL+FL;
9318904;NOVOSEVEN 5MG INJ FL+FL;
9318910;VELCADE 1 MG Poudre pour solution injectable;
9318910;VELCADE 1 MG Poudre pour solution injectable;
9319022;PACLITAXEL EBEWE 6 MG/ML Solution Ö diluer pour perfusion en flacon de 100 ml;
9279038;KEPIVANCE 6,25 mg poudre pour solution injectable;
9279966;NOXAFIL 40 mg/ml suspension buvable en flacon de 105 ml;
9279972;REVATIO 20 mg CPR;
9280030;FLUOURACILE G GAM 50 mg/ml solution pour perfusion en flacon de 10 ml;
9280047;FLUOURACILE G GAM 50 mg/ml solution pour perfusion en flacon de 100 ml;
9280053;FLUOURACILE G GAM 50 mg/ml solution pour perfusion en flacon de 20 ml;
9280596;APTIVUS 250 mg (tipranavir) 1 Boåte de 120, capsules molles;
9295497;NEGABAN 1 G poudre pour solution injectable, en flacon;
9295505;NEGABAN 2 G poudre pour solution injectable ou pour perfusion en flacon;
9295853;ENBREL 25 mg solution injectable en seringue prÇremplie;
9295882;ENBREL 50 mg solution injectable en seringue prÇremplie;
9296189;FLUCONAZOLE MYLAN PHARMA 2 MG/ML Solution pour perfusion en flacon de 100 ml;
9296195;FLUCONAZOLE MYLAN PHARMA 2 MG/ML Solution pour perfusion en flacon de 200 ml;
9296203;FLUCONAZOLE MYLAN PHARMA 2 MG/ML Solution pour perfusion en flacon de 50 ml;
9310512;HELIXATE NEXGEN 2 000 UI F + F + NEC;
9310587;MITOXANTRONE TEVA 2 MG/ML Solution Ö diluer pour perfusion en flacon de 10 ml;
9310593;MITOXANTRONE TEVA 2 MG/ML Solution Ö diluer pour perfusion en flacon de 12,5 ml;
9310601;MITOXANTRONE TEVA 2 MG/ML Solution Ö diluer pour perfusion en flacon de 5 ml;
9311500;FLUCONAZOLE MACOPHARMA 2MG/ML solution pour perfusion en poche de 100 ml;
9311517;FLUCONAZOLE MACOPHARMA 2MG/ML solution pour perfusion en poche de 200 ml;
9311523;FLUCONAZOLE MACOPHARMA 2MG/ML solution pour perfusion en poche de 50 ml;
9319358;BUSILVEX 6 MG/ML Solution Ö diluer pour perfusion en flacon de 10 ml;
9319708;EPIRUBICINE ACTAVIS 2 MG/ML Solution pour perfusion en flacon de 10 ml;
9319714;EPIRUBICINE ACTAVIS 2 MG/ML Solution pour perfusion en flacon de 50 ml;
9319720;OXALIPLATIN. ACT 5MG/ML 100 mg;
9319737;OXALIPLATIN. ACT 5MG/ML 50 mg;
9320054;CARBOPLATINE INTAS 10 MG/ML Solution pour perfusion en flacon de 15 ml;
9320060;CARBOPLATINE INTAS 10 MG/ML Solution pour perfusion en flacon de 45 ml;
9280797;MITOXANTRONE FAULDING 2 mg/ml solution Ö diluer pour perfusion en flacon de 10 ml;
9280805;MITOXANTRONE FAULDING 2 mg/ml solution Ö diluer pour perfusion en flacon de 12,5 ml;
9281070;OXALIPLATINE DAKOTA PHARM 5 mg/ml poudre pour solution pour perfusion en flacon de 50 mg;
9281087;OXALIPLATINE DAKOTA PHARM 5 mg/ml poudre pour solution pour perfusion en flacon de 100 mg;
9281093;OXALIPLATINE DAKOTA PHARM 5 mg/ml solution Ö diluer pour perfusion en flacon de 10 ml;
9281101;OXALIPLATINE DAKOTA PHARM 5 mg/ml solution Ö diluer pour perfusion en flacon de 20 ml;
9281118;OXALIPLATIN.WTR 5MG/ML 50MG 1 Flacon de 50 mg, poudre pour solution pour perfusion;
9296829;PACLITAXEL EG 6 MG/ML solution Ö diluer pour perfusion en flacon de 16,7 ml;
9296835;PACLITAXEL EG 6 MG/ML solution Ö diluer pour perfusion en flacon de 25 ml;
9296841;PACLITAXEL EG 6 MG/ML solution Ö diluer pour perfusion en flacon de 5 ml;
9296858;PACLITAXEL EG 6 MG/ML solution Ö diluer pour perfusion en flacon de 50 ml;
9297088;VINORELBINE HOSPIRA 10 MG/ML Solution Ö diluer pour perfusion en flacon de 1 ml;
9297094;VINORELBINE TEVA 10 MG/ML Solution injectable en flacon de 1 ml;
9297102;VINORELBINE TEVA 10 MG/ML Solution injectable en flacon de 5 ml;
9311658;VEDROP 50 MG/ML Flacon de 20 ml, solution buvable;
9311664;VEDROP 50 MG/ML Flacon de 60 ml, solution buvable;
9311670;ALIMTA 100 MG Poudre pour solution Ö diluer pour perfusion;
9311670;ALIMTA 100 MG Poudre pour solution Ö diluer pour perfusion;
9312072;KALETRA 100 MG/25 MG ComprimÇ pelliculÇ;
9312600;VINORELBINE MYLAN 10 MG/ML Solution Ö diluer pour perfusion en flacon de 1 ml;
9312617;VINORELBINE MYLAN 10 MG/ML Solution Ö diluer pour perfusion en flacon de 5 ml;
9320077;CARBOPLATINE INTAS 10 MG/ML Solution pour perfusion en flacon de 5 ml;
9320166;FIRAZYR 30 MG INJ SRG3ML;
9320166;FIRAZYR 30 MG INJ SRG3ML;
