CODE_UCD;LISTE;NOM_COURT;DT_DINSCRI;DT_FINSCRI;MOTIF_FIN;LABO_EXP;DT_SOURDOC;DT_APPRIX;PRIX_HT;PRIX_TTC;T_FACTURE;MARGE_TTC;DT_APTAUX;TAUX;DT_DCOUSUP;DT_FCOUSUP;DT_APMAJO;MAJO_971;MAJO_972;MAJO_973;MAJO_974;DT_DLPRIVE;DT_FLPRIVE;DT_DLPUBLI;DT_FLPUBLI;NOM_LONG1;NOM_LONG2;ETAT;COD_FORME;FORME;COD_CFORME;CPMTFORME;DDD;D_ADMINIST;PAR_VOIE;COD_ATC;CLASSE_ATC;COD_EPHMRA;CLA_EPHMRA;RH;PH;PIH;SP;PS
9284418;R;EPIRUBICINE TEVA 2 MG/ML 1 Flacon de 25 ml, solution pour perfusion;2008-06-11;;;TEVA CLASSICS;2021-03-23;2021-04-01;39.6;40.43;N;22.0;2008-06-11;100.0;2008-06-11;;2008-06-11;1.16;1.16;1.16;1.16;;;;;EPIRUBICINE TEVA 2 MG/ML 1 Flacon de 25 ml, solution pour perfusion;;S;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01DB03;EPIRUBICINE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;N;O;N;O;O
9284424;R;EPIRUBICINE TEVA 2 MG/ML 1 Flacon de 5 ml, solution pour perfusion;2008-06-11;;;TEVA CLASSICS;2021-03-23;2021-04-01;8.1;8.27;N;22.0;2008-06-11;100.0;2008-06-11;;2008-06-11;1.16;1.16;1.16;1.16;;;;;EPIRUBICINE TEVA 2 MG/ML 1 Flacon de 5 ml, solution pour perfusion;;S;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01DB03;EPIRUBICINE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;N;O;N;O;O
9284499;R;PACLITAXEL MYLAN 6 MG/ML solution Ö diluer pour perfusion en flacon de 16,7 ml;2006-09-22;;;MYLAN SAS;2021-03-26;2021-04-01;14.25;14.55;N;22.0;2006-09-22;100.0;2007-02-03;;2006-09-22;1.16;1.16;1.16;1.16;;;;;PACLITAXEL MYLAN 6 MG/ML solution Ö diluer pour perfusion en flacon de 16,7 ml;;S;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01CD01;PACLITAXEL;L01C;ANTINEOPLASIQUES D'ORIGINE VEGETALE;N;O;N;O;O
9284507;R;PACLITAXEL MYLAN 6 MG/ML solution Ö diluer pour perfusion en flacon de 25 ml;2006-09-22;;;MYLAN SAS;2021-03-26;2021-04-01;21.375;21.82;N;22.0;2006-09-22;100.0;2007-02-03;;2006-09-22;1.16;1.16;1.16;1.16;;;;;PACLITAXEL MYLAN 6 MG/ML solution Ö diluer pour perfusion en flacon de 25 ml;;NC;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01CD01;PACLITAXEL;L01C2;ANTICANCêREUX TAXANES;N;O;N;O;O
9284513;R;PACLITAXEL MYLAN 6 MG/ML solution Ö diluer pour perfusion en flacon de 5 ml;2006-09-22;;;MYLAN SAS;2021-03-26;2021-04-01;4.275;4.36;N;22.0;2006-09-22;100.0;2007-02-03;;2006-09-22;1.16;1.16;1.16;1.16;;;;;PACLITAXEL MYLAN 6 MG/ML solution Ö diluer pour perfusion en flacon de 5 ml;;S;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01CD01;PACLITAXEL;L01C;ANTINEOPLASIQUES D'ORIGINE VEGETALE;N;O;N;O;O
9302286;R;CARBOPLATINE HOSPIRA 10 MG/ ML solution injectable pour perfusion en flacon de 45 ml;2009-10-28;2021-09-28;RADIATION;HOSPIRA FRANCE;2021-09-28;2010-01-01;19.0;19.4;N;22.0;2009-10-28;100.0;2009-10-28;;2009-10-28;1.16;1.16;1.16;1.16;;;;;CARBOPLATINE HOSPIRA 10 MG/ ML solution injectable pour perfusion en flacon de 45 ml;;D;48;SOLUTION;295;SOLUTION INJECTABLE SOLUTION POUR PERFUS;;;;L01XA02;CARBOPLATINE;L01F;ANTICANCEREUX DERIVES DU PLATINE;N;O;N;O;N
9302292;R;CARBOPLATINE HOSPIRA 10 MG/ ML solution injectable pour perfusion en flacon de 5 ml;2009-10-28;2021-09-28;RADIATION;HOSPIRA FRANCE;2021-09-28;2010-01-01;5.0;5.11;N;22.0;2009-10-28;100.0;2009-10-28;;2009-10-28;1.16;1.16;1.16;1.16;;;;;CARBOPLATINE HOSPIRA 10 MG/ ML solution injectable pour perfusion en flacon de 5 ml;;D;48;SOLUTION;295;SOLUTION INJECTABLE SOLUTION POUR PERFUS;;;;L01XA02;CARBOPLATINE;L01F;ANTICANCEREUX DERIVES DU PLATINE;N;O;N;O;N
9302300;R;CARBOPLATINE HOSPIRA 10 MG/ ML solution injectable pour perfusion A/F 60 ml;2009-10-28;2021-09-28;RADIATION;HOSPIRA FRANCE;2021-09-28;2012-12-01;25.32;25.85;N;22.0;2009-10-28;100.0;2009-10-28;;2009-10-28;1.16;1.16;1.16;1.16;;;;;CARBOPLATINE HOSPIRA 10 MG/ ML solution injectable pour perfusion A/F 60 ml;;D;48;SOLUTION;295;SOLUTION INJECTABLE SOLUTION POUR PERFUS;;;;L01XA02;CARBOPLATINE;L01F;ANTICANCEREUX DERIVES DU PLATINE;N;O;N;O;N
9302323;R;CARBOPLATINE HOSPIRA 10 MG/ ML solution injectable pour perfusion en flacon de 15 ml;2009-10-28;2021-09-28;RADIATION;HOSPIRA FRANCE;2021-09-28;2010-01-01;9.0;9.19;N;22.0;2009-10-28;100.0;2009-10-28;;2009-10-28;1.16;1.16;1.16;1.16;;;;;CARBOPLATINE HOSPIRA 10 MG/ ML solution injectable pour perfusion en flacon de 15 ml;;D;48;SOLUTION;295;SOLUTION INJECTABLE SOLUTION POUR PERFUS;;;;L01XA02;CARBOPLATINE;L01F;ANTICANCEREUX DERIVES DU PLATINE;N;O;N;O;N
9303682;R;GAMMANORM 165 mg/ml 1 Flacon de 10 ml, solution injectable;2007-11-17;2020-08-27;RADIATION;OCTAPHARMA SAS;2020-08-27;2010-01-01;74.25;75.81;N;22.0;2007-11-17;100.0;;;2007-11-17;1.16;1.16;1.16;1.16;;;;;GAMMANORM 165 mg/ml 1 Flacon de 10 ml, solution injectable;;S;48;SOLUTION;295;SOLUTION INJECTABLE;;;;J06BA01;IMMUNOGLOBULINES HUMAINES POLYVALENTES, POUR ADM EXTRAVASCULAIRE;J06E;IMMUNOGLOBULINES POLYVALENTES, INTRAMUSCULAIRES;N;O;N;N;N
9303682;T;GAMMANORM 165 mg/ml 1 Flacon de 10 ml, solution injectable;2008-02-27;2020-03-17;RADIATION;OCTAPHARMA SAS;2020-08-27;2008-02-27;74.25;75.81;;;;;;;2008-02-27;1.16;1.16;1.16;1.16;2008-02-27;;2008-02-27;;GAMMANORM 165 mg/ml 1 Flacon de 10 ml, solution injectable;;S;48;SOLUTION;295;SOLUTION INJECTABLE;;;;J06BA01;IMMUNOGLOBULINES HUMAINES POLYVALENTES, POUR ADM EXTRAVASCULAIRE;J06E;IMMUNOGLOBULINES POLYVALENTES, INTRAMUSCULAIRES;N;O;N;N;N
9303699;R;GAMMANORM 165 mg/ml INJ FL20ML;2007-11-17;2020-08-27;RADIATION;OCTAPHARMA S.A.S.;2020-12-29;2010-01-01;148.5;151.62;N;22.0;2007-11-17;100.0;;;2007-11-17;1.16;1.16;1.16;1.16;;;;;GAMMANORM 165 mg/ml INJ FL20ML;;S;48;SOLUTION;295;SOLUTION INJECTABLE;;;;J06BA01;IMMUNOGLOBULINES HUMAINES POLYVALENTES, POUR ADM EXTRAVASCULAIRE;J06E;IMMUNOGLOBULINES POLYVALENTES, INTRAMUSCULAIRES;N;O;N;N;N
9317187;R;CAMPTO 20 MG/ML Solution Ö diluer pour perfusion en flacon polypropyläne de 2 ml;2009-03-26;2021-09-28;RADIATION;PFIZER;2021-09-28;2021-04-01;9.54;9.74;N;22.0;2009-03-26;100.0;2009-03-26;;2009-03-26;1.16;1.16;1.16;1.16;;;;;CAMPTO 20 MG/ML Solution Ö diluer pour perfusion en flacon polypropyläne de 2 ml;;S;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01CE02;IRINOTECAN;L01C3;ANTICANCEREUX DERIVES DE LA CAMPTOTHECINE;N;O;N;O;N
9327783;R;KUVAN 100 MG ComprimÇ pour solution buvable;2009-04-24;;;BIOMARIN EUROPE Ltd;2018-06-26;2018-07-01;19.35;19.76;N;22.0;2009-04-24;65.0;;;2009-04-24;1.16;1.16;1.16;1.16;;;;;KUVAN 100 MG ComprimÇ pour solution buvable;;D;15;COMPRIME;386;COMPRIME POUR SOLUTION BUVABLE;;;;A16AX07;SAPROPTERINE;A16A;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME;N;O;N;N;N
9327903;R;PACLITAXEL ACTAVIS 6 MG/ML Solution Ö diluer pour perfusion en flacon de 16,7 ml;2009-10-17;2021-09-28;RADIATION;ACTAVIS FRANCE;2021-09-28;2021-04-01;14.25;14.55;N;22.0;2009-10-17;100.0;2009-10-17;;2009-10-17;1.16;1.16;1.16;1.16;;;;;PACLITAXEL ACTAVIS 6 MG/ML Solution Ö diluer pour perfusion en flacon de 16,7 ml;;D;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01CD01;PACLITAXEL;L01C2;ANTICANCêREUX TAXANES;N;O;N;O;N
9327926;R;PACLITAXEL ACTAVIS 6 MG/ML Solution Ö diluer pour perfusion en flacon de 25 ml;2009-10-17;2021-09-28;RADIATION;ACTAVIS FRANCE;2021-09-28;2021-04-01;21.375;21.82;N;22.0;2009-10-17;100.0;2009-10-17;;2009-10-17;1.16;1.16;1.16;1.16;;;;;PACLITAXEL ACTAVIS 6 MG/ML Solution Ö diluer pour perfusion en flacon de 25 ml;;D;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01CD01;PACLITAXEL;L01C2;ANTICANCêREUX TAXANES;N;O;N;O;N
9327932;R;PACLITAXEL ACTAVIS 6 MG/ML Solution Ö diluer pour perfusion en flacon de 5 ml;2009-10-17;2021-09-28;RADIATION;ACTAVIS FRANCE;2021-09-28;2021-04-01;4.275;4.36;N;22.0;2009-10-17;100.0;2009-10-17;;2009-10-17;1.16;1.16;1.16;1.16;;;;;PACLITAXEL ACTAVIS 6 MG/ML Solution Ö diluer pour perfusion en flacon de 5 ml;;D;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01CD01;PACLITAXEL;L01C2;ANTICANCêREUX TAXANES;N;O;N;O;N
9327949;R;PACLITAXEL ACTAVIS 6 MG/ML Solution Ö diluer pour perfusion en flacon de 50 ml;2009-10-17;2021-09-28;RADIATION;ACTAVIS FRANCE;2021-09-28;2021-04-01;42.75;43.65;N;22.0;2009-10-17;100.0;2009-10-17;;2009-10-17;1.16;1.16;1.16;1.16;;;;;PACLITAXEL ACTAVIS 6 MG/ML Solution Ö diluer pour perfusion en flacon de 50 ml;;D;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01CD01;PACLITAXEL;L01C2;ANTICANCêREUX TAXANES;N;O;N;O;N
9328050;R;PREZISTA 400 MG ComprimÇ pelliculÇ;2009-10-17;;;JANSSEN-CILAG;2021-03-26;2021-04-01;2.16;2.21;N;22.0;2009-10-17;100.0;;;2009-10-17;1.16;1.16;1.16;1.16;;;;;PREZISTA 400 MG ComprimÇ pelliculÇ;;D;15;COMPRIME;307;COMPRIME PELLICULE;;;;J05AE10;DARUNAVIR;J05C2;INHIBITEURS DE PROTEASE;N;N;N;N;N
9327748;R;MITOXANTRONE EBEWE 2 MG/ML Solution Ö diluer pour perfusion en flacon de 5 ml;2009-11-20;2020-02-19;RADIATION;EBEWE PHARMA;2020-02-19;2012-01-01;124.2;126.81;N;22.0;2009-11-20;100.0;2009-11-20;;2009-11-20;1.16;1.16;1.16;1.16;;;;;MITOXANTRONE EBEWE 2 MG/ML Solution Ö diluer pour perfusion en flacon de 5 ml;;S;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01DB07;MITOXANTRONE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;N;O;N;O;N
9328096;T;STELARA 45 MG INJ FL 0,5ML;2010-06-04;2021-02-28;RADIATION;JANSSEN-CILAG;2021-02-12;2018-01-02;2135.47;2180.31;;;;;;;2010-06-04;1.16;1.16;1.16;1.16;2010-06-04;;2010-06-04;;STELARA 45 MG INJ FL 0,5ML;;D;48;SOLUTION;295;SOLUTION INJECTABLE;;;;L04AC05;USTEKINUMAB;L04C;INHIBITEUR DES INTERLEUKINES;N;N;N;N;N
9328481;R;EPIRUBICINE MYLAN 2 MG/ML Solution pour perfusion en flacon de 50 ml;2009-09-23;2021-09-28;RADIATION;MYLAN SAS;2021-09-28;2021-04-01;59.4;60.65;N;22.0;2009-09-23;100.0;2009-09-23;;2009-09-23;1.16;1.16;1.16;1.16;;;;;EPIRUBICINE MYLAN 2 MG/ML Solution pour perfusion en flacon de 50 ml;;D;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01DB03;EPIRUBICINE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;N;O;N;O;N
9328788;R;KANOKAD 25 UI/ML DE FACTEUR IX Poudre et solvant pour solution injectable en flacon verre de 10 ml avec une aiguille de transfert;2009-11-14;;;LFB-BIOMEDICAMENTS;2017-06-13;2017-07-01;100.0;102.1;N;22.0;2009-11-14;100.0;;;2009-11-14;1.16;1.16;1.16;1.16;;;;;KANOKAD 25 UI/ML DE FACTEUR IX Poudre et solvant pour solution injectable en flacon verre de 10 ml avec une aiguille de transfert;;D;44;POUDRE;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;B02BD01;FACTEURS DE COAGULATION IX, II, VII ET X EN ASSOCIATION;B02D2;FACTEURS II, VII, IX ET X;N;O;N;N;N
9328788;T;KANOKAD 25 UI/ML DE FACTEUR IX Poudre et solvant pour solution injectable en flacon verre de 10 ml avec une aiguille de transfert;2009-07-15;;;LFB-BIOMEDICAMENTS;2017-06-13;2017-07-01;100.0;102.1;;;;;;;2009-07-15;1.16;1.16;1.16;1.16;2009-07-15;;2009-07-15;;KANOKAD 25 UI/ML DE FACTEUR IX Poudre et solvant pour solution injectable en flacon verre de 10 ml avec une aiguille de transfert;;D;44;POUDRE;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;B02BD01;FACTEURS DE COAGULATION IX, II, VII ET X EN ASSOCIATION;B02D2;FACTEURS II, VII, IX ET X;N;O;N;N;N
9328794;R;KANOKAD 25 UI/ML DE FACTEUR IX Poudre et solvant pour solution injectable en flacon verre de 20 ml avec une aiguille de transfert;2009-11-14;;;LFB-BIOMEDICAMENTS;2017-06-13;2017-07-01;200.0;204.2;N;22.0;2009-11-14;100.0;;;2009-11-14;1.16;1.16;1.16;1.16;;;;;KANOKAD 25 UI/ML DE FACTEUR IX Poudre et solvant pour solution injectable en flacon verre de 20 ml avec une aiguille de transfert;;D;44;POUDRE;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;B02BD01;FACTEURS DE COAGULATION IX, II, VII ET X EN ASSOCIATION;B02D2;FACTEURS II, VII, IX ET X;N;O;N;N;N
9328794;T;KANOKAD 25 UI/ML DE FACTEUR IX Poudre et solvant pour solution injectable en flacon verre de 20 ml avec une aiguille de transfert;2009-07-15;;;LFB-BIOMEDICAMENTS;2017-06-13;2017-07-01;200.0;204.2;;;;;;;2009-07-15;1.16;1.16;1.16;1.16;2009-07-15;;2009-07-15;;KANOKAD 25 UI/ML DE FACTEUR IX Poudre et solvant pour solution injectable en flacon verre de 20 ml avec une aiguille de transfert;;D;44;POUDRE;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;B02BD01;FACTEURS DE COAGULATION IX, II, VII ET X EN ASSOCIATION;B02D2;FACTEURS II, VII, IX ET X;N;O;N;N;N
9284536;R;PACLITAXEL MYLAN 6 MG/ML solution Ö diluer pour perfusion en flacon de 50 ml;2006-09-22;;;MYLAN SAS;2021-03-26;2021-04-01;42.75;43.65;N;22.0;2006-09-22;100.0;2007-02-03;;2006-09-22;1.16;1.16;1.16;1.16;;;;;PACLITAXEL MYLAN 6 MG/ML solution Ö diluer pour perfusion en flacon de 50 ml;;S;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01CD01;PACLITAXEL;L01C;ANTINEOPLASIQUES D'ORIGINE VEGETALE;N;O;N;O;O
9284803;R;MITOXANTRONE MYLAN 2 MG/ML solution Ö diluer pour perfusion en flacon de 12,5 ml;2007-04-05;2020-02-19;RADIATION;MYLAN SAS;2020-02-19;2012-01-01;259.2;264.64;N;22.0;2007-04-05;100.0;2007-04-05;;2007-04-05;1.16;1.16;1.16;1.16;;;;;MITOXANTRONE MYLAN 2 MG/ML solution Ö diluer pour perfusion en flacon de 12,5 ml;;S;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01DB07;MITOXANTRONE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;N;O;N;O;O
9284890;R;KIOVIG 100 mg/ml INJ FL200ML;2006-12-02;;;TAKEDA;2020-12-29;2021-10-01;1100.0;1123.1;N;22.0;2006-12-02;100.0;;;2006-12-02;1.16;1.16;1.16;1.16;;;;;KIOVIG 100 mg/ml INJ FL200ML;;D;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;J06BA02;IMMUNOGLOBULINES HUMAINES POLYVALENTES, POUR ADM INTRAVASCULAIRE;J06C;IMMUNOGLOBULINES POLYVALENTES, INTRAVEINEUSES;N;O;N;N;N
